framework,device_name,input_size,batch_index,compute_count,data_transfer_count,compute_mean_ms,data_transfer_mean_ms,compute_var_ms,data_transfer_var_ms,compute_std_ms,data_transfer_std_ms
CUDA,NVIDIA A100-SXM4-80GB,1048723456,1.0,14,14,0.24202057142857145,2.0320235714285713,0.02124040095226374,0.11099426440934071,0.14574086919002419,0.33315801717704574
CUDA,NVIDIA A100-SXM4-80GB,1048723456,2.0,14,14,0.11999542857142857,2.2412628571428574,0.004422557673494505,0.04980087349890109,0.06650231329430958,0.22316109315671737
CUDA,NVIDIA A100-SXM4-80GB,1048723456,3.0,14,14,0.10204342857142858,2.1937485714285714,0.0013626704907252747,0.04288980621318682,0.0369143669961341,0.20709854227682728
CUDA,NVIDIA A100-SXM4-80GB,1048723456,4.0,14,14,0.10693257142857142,2.1563807142857145,0.0026452841719560435,0.04785425723791207,0.05143232613790712,0.21875615931422837
CUDA,NVIDIA A100-SXM4-80GB,1048723456,5.0,14,14,0.11568,2.168427142857143,0.003618411283692307,0.038302713652747226,0.060153231697825736,0.19571079084390627
CUDA,NVIDIA A100-SXM4-80GB,1048723456,6.0,14,14,0.09313142857142857,2.1902714285714286,5.270049195604403e-05,0.03161983945934069,0.007259510448786752,0.17781968242953503
CUDA,NVIDIA A100-SXM4-80GB,1048723456,7.0,14,14,0.09575542857142857,2.320979285714286,2.7988378725274686e-05,0.08234527393021975,0.0052904044009200926,0.2869586624066605
CUDA,NVIDIA A100-SXM4-80GB,1048723456,8.0,14,14,0.09259428571428571,2.2177121428571427,2.8769313758241765e-05,0.04554442735659337,0.005363703362252779,0.21341140399845873
CUDA,NVIDIA A100-SXM4-80GB,1048723456,9.0,14,14,0.09377371428571428,2.173672857142857,3.9459873758241835e-05,0.0378639079296703,0.0062817094614636415,0.19458650500399635
CUDA,NVIDIA A100-SXM4-80GB,1048723456,10.0,14,14,7.516989714285714,2.2756492857142856,771.1574528651363,0.09770470277637355,27.76972187230431,0.31257751482851986
CUDA,NVIDIA GeForce GTX 970,1048723456,1.0,3,3,2.6152333333333337,4.2730266666666665,0.11029688973333318,0.49204580083333294,0.3321097555527889,0.7014597642298045
CUDA,NVIDIA GeForce GTX 970,1048723456,2.0,3,3,2.3756799999999996,4.11727,4.2931200000002365e-05,0.06075261030000009,0.006552190473422027,0.24648044608041444
CUDA,NVIDIA GeForce GTX 970,1048723456,3.0,3,3,2.3733566666666666,4.11168,0.0001152654333333321,0.05609531470000007,0.010736174054724155,0.2368444947639697
CUDA,NVIDIA GeForce GTX 970,1048723456,4.0,3,3,3.0268466666666662,4.313853333333333,1.2982818362333333,0.15444460813333316,1.1394217113226048,0.392994412343653
CUDA,NVIDIA GeForce GTX 970,1048723456,5.0,3,3,2.3672733333333333,4.0048,2.629173333333332e-05,0.002050388100000008,0.00512754652181073,0.04528121133538731
CUDA,NVIDIA GeForce GTX 970,1048723456,6.0,3,3,2.365353333333333,3.9869,1.960263333333392e-05,0.00038814749999999636,0.004427486118931816,0.01970145933681047
